CODUSU,NRO_HOGAR,PONDERA,Parentesco,Sexo,Edad,Estado_Civil,Cobertura_Medica,Sabe_leer,Lugar_Nac,NIVEL_ED,Trabajo,CAT_OCUP,CAT_INAC,Y
305645,1,675,1,2,73,3,1,1,1,6,1,4,0,9900
305645,1,675,9,2,50,3,1,1,2,4,1,3,0,9900
307211,1,979,1,2,25,5,1,1,2,5,3,0,3,800
312241,1,1048,1,1,50,2,1,1,3,2,1,3,0,4600
312241,1,1048,2,2,58,2,1,1,3,1,1,3,0,4600
312241,1,1048,3,2,21,5,1,1,1,5,1,3,0,4600
309082,1,1107,1,1,58,2,1,1,1,2,1,3,0,2400
125769,1,1325,1,1,76,4,1,1,1,5,3,0,1,2100
148720,1,1155,1,1,32,2,1,1,1,6,1,2,0,5700
148720,1,1155,2,2,33,2,1,1,1,6,1,3,0,5700
148720,1,1155,3,1,1,5,1,3,1,7,4,0,5,5700
205122,1,1040,1,2,36,5,1,1,1,6,1,2,0,4000
158530,1,1133,1,1,45,5,1,1,3,4,1,1,0,3000
182532,1,2489,1,2,50,5,4,1,1,2,1,3,0,4990
182532,1,2489,6,2,71,3,1,1,1,1,3,0,1,4990
182532,1,2489,3,1,27,5,1,1,1,3,1,3,0,4990
200829,1,2486,1,1,67,2,1,1,3,1,1,2,0,7280
200829,1,2486,2,2,67,2,1,1,1,2,3,0,1,7280
200829,1,2486,3,1,32,5,1,1,1,5,1,3,0,7280
227697,1,2288,1,2,19,5,4,1,5,5,3,0,3,4000
138179,1,2161,1,2,23,5,12,1,2,5,1,3,0,5400
138179,1,2161,8,2,20,5,12,1,2,5,1,3,0,5400
303225,1,1370,1,2,62,3,1,1,1,6,1,3,0,14955
303225,1,1370,10,2,68,5,1,1,3,2,3,0,1,14955
302912,1,1060,1,2,64,4,1,1,1,6,1,2,0,6100
302912,1,1060,3,1,40,5,1,1,1,4,1,2,0,6100
302912,1,1060,3,2,38,5,1,1,1,4,2,3,0,6100
302337,1,1329,1,1,67,2,1,1,1,6,1,1,0,28245
302337,1,1329,2,2,66,2,1,1,1,4,3,0,1,28245
302337,1,1329,3,1,27,5,1,1,1,6,1,3,0,28245
302337,1,1329,3,2,34,5,1,1,1,5,1,3,0,28245
304956,1,1266,1,1,35,5,1,1,1,6,1,3,0,4000
304659,1,1376,1,2,75,3,1,1,1,5,3,0,1,3000
311309,1,1357,1,2,84,2,1,1,1,6,1,3,0,1690
311309,1,1357,2,1,86,2,1,1,1,6,3,0,1,1690
310447,1,1249,1,2,69,5,1,1,1,6,3,0,1,890
204633,1,2211,1,1,74,2,1,1,2,6,1,2,0,5700
204633,1,2211,2,2,73,2,1,1,3,4,3,0,1,5700
220964,1,1953,1,2,25,1,1,1,1,6,1,3,0,7500
220964,1,1953,2,1,23,1,1,1,1,5,1,3,0,7500
201563,2,2034,1,2,67,5,2,1,1,6,1,1,0,2500
211668,1,1717,1,2,44,3,2,1,1,6,1,2,0,3000
258831,1,1365,1,1,59,2,2,1,1,5,1,3,0,5700
258831,1,1365,2,2,62,2,2,1,1,6,3,0,1,5700
198481,2,1144,1,2,18,5,1,1,3,5,3,0,3,1200
198481,2,1144,10,2,19,5,1,1,3,5,3,0,3,1200
196092,1,1207,1,2,81,4,1,1,1,4,3,0,1,12720
